year,code,amount,name,topname,depname,depcat,cat,ref
2015,56045053875,9625,"ซื้อวัสดุเครื่องแต่งกาย 1 รายการ โดยวิธีตกลงราคา","","โรงพยาบาลลำปาง","","ซื้อ",""
2015,56125035807,14410,"ซื้อวัสดุไฟฟ้าสำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์ โดยวิธีตกลงราคา","","สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์","","ซื้อ",""
2015,56125056231,87760,"ซื้อเครื่องกรองน้ำ โดยวิธีตกลงราคา","","องค์การบริหารส่วนจังหวัดร้อยเอ็ด","","ซื้อ",""
2015,56125099701,18344000,"ประกวดราคาจ้างก่อสร้างเขื่อนค.ส.ล.(ดาดท้องคลอง)คลองวัดทอง(จากเขื่อนเดิมถึงศาลพ่อปู่คลองไทร) ด้วยวิธีการทางอิเล็กทรอนิกส์","","ฝ่ายโยธา สำนักงานเขตบางซื่อ","","จ้างก่อสร้าง",""
2015,56125117819,16948.8,"ซื้อครุภัณฑ์ไฟฟ้าและวิทยุ  จำนวน ๒ รายการ โดยวิธีตกลงราคา","","ศูนย์อนามัยที่ 8 กรมอนามัย ขอนแก่น (ชั่วคราว)","","ซื้อ",""
2015,57015032534,27000,"ซื้อสำลีก้อน 1.40 กรัม จำนวน 300 ถุง โดยวิธีตกลงราคา","","โรงพยาบาลแม่สอด","","ซื้อ",""
2015,57055084872,1368000,"สอบราคาจ้างจ้างเหมาทำการผลิตและติดตั้งป้ายจราจรบนทางหลวงชนิดแผ่นเหล็กชุบสังกะสี","","แขวงทางหลวงเชียงใหม่ที่ 1","","จ้างก่อสร้าง",""
2015,57055170156,16954000,"จ้างสร้างคลังเก็บสิ่งอุปกรณ์ประเภทที่ 5 (IGLOO) ของ กองพันทหารปืนใหญ่ที่ 711 จังหวัดลพบุรี โดยวิธีพิเศษ","","กรมยุทธโยธาทหารบก กรุงเทพฯ","","จ้างก่อสร้าง",""
2015,57065338279,100000,"ซื้อครุภัณฑ์การศึกษา โดยวิธีตกลงราคา","","โรงเรียนชุมชนบ้านพุ่มแก","","ซื้อ",""
2015,57075241043,8000000,"ประกวดราคาซื้อเครื่องตรวจด้วยคลื่นเสียงความถี่สูงชนิดสีประมวลภาพระบบดิจิตอล (Digital Color Doppler Ultrasound) ด้วยวิธีการทางอิเล็กทรอนิกส์","","โรงพยาบาลมะเร็ง อุบลราชธานี","","ซื้อ",""
2015,57075266656,25912810,"ประกวดราคาจ้างบริการรถตู้ปรับอากาศ จำนวน ๗ คัน เพื่่อให้บริการรับส่งพนักงานเข้าเวร ประจำ ณ ที่ทำการบริษัท วิทยุการบินแห่งประเทศไทย จำกัด สำนักงานใหญ่ ทุ่งมหาเมฆ และหอบังคับการบินดอนเมือง ท่าอากาศยานดอนเมือง ด้วยวิธีการทางอิเล็กทรอนิกส์","","บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57075309398,16650000,"ประกวดราคาจ้างจ้างเหมาก่อสร้างอาคารที่ทำการสถานีตำรวจภูธรพะวอ พร้อมส่วนประกอบ จำนวน 1 หลัง ด้วยวิธีการทางอิเล็กทรอนิกส์","","ตำรวจภูธรจังหวัดตาก ภ.6 สำนักงานตำรวจแห่งชาติ","","จ้างก่อสร้าง",""
2015,57075309485,16800000,"ประกวดราคาจ้างจ้างเหมาก่อสร้างอาคารที่ทำการสถานีตำรวจภูธรแม่ท้อ พร้อมส่วนประกอบ จำนวน 1 หลัง ด้วยวิธีการทางอิเล็กทรอนิกส์","","ตำรวจภูธรจังหวัดตาก ภ.6 สำนักงานตำรวจแห่งชาติ","","จ้างก่อสร้าง",""
2015,57075309698,8880000,"ประกวดราคาจ้างจ้างเหมาก่อสร้างอาคารที่ทำการสถานีตำรวจภูธรยกกระบัตร พร้อมส่วนประกอบ จำนวน 1 หลัง ด้วยวิธีการทางอิเล็กทรอนิกส์","","ตำรวจภูธรจังหวัดตาก ภ.6 สำนักงานตำรวจแห่งชาติ","","จ้างก่อสร้าง",""
2015,57075338040,15046000,"ประกวดราคาจ้างก่อสร้างอาคารที่ทำการสถานีตำรวจภูธรแม่แจ่ม (ก่อสร้างต่อจากเดิม) พร้องสิ่งประกอบ จำนวน ๑ หลัง ตามโครงการก่อสร้างสถานีตำรวจ (ทดแทน) ด้วยวิธีการทางอิเล็กทรอนิกส์","","ตำรวจภูธรจังหวัดเชียงใหม่","","จ้างก่อสร้าง",""
2015,57075344422,27513000,"ประกวดราคาจ้างจ้างเหมาก่อสร้างอาคารที่ทำการสถานีตำรวจภูธรแม่สอด พร้อมส่วนประกอบ จำนวน 1 หลัง ด้วยวิธีการทางอิเล็กทรอนิกส์","","ตำรวจภูธรจังหวัดตาก ภ.6 สำนักงานตำรวจแห่งชาติ","","จ้างก่อสร้าง",""
2015,57085041694,1812000,"สอบราคาซื้อวัสดุทันตกรรม  จำนวน  ๙  รายการ","","โรงพยาบาลพระนารายณ์มหาราช","","ซื้อ",""
2015,57085053031,33986000,"ประกวดราคาจ้างเหมาก่อสร้างอาคารที่ทำการ (สถานีตำรวจทดแทน) สถานีตำรวจภูธรบ้านนาสาร ด้วยวิธีการทางอิเล็กทรอนิกส์","","ตำรวจภูธรจังหวัดสุราษฎร์ธานี","","จ้างก่อสร้าง",""
2015,57085119622,29440000,"ประกวดราคาจ้างก่อสร้างอาคารเอนกประสงค์ เป็นอาคาร คสล.๔ ชั้น พื้นที่ใช้สอยประมาณ ๒,๔๙๑ ตารางเมตร (โครงสร้างต้านแผ่นดินไหว) จำนวน ๑ หลัง ของโรงพยาบาลลำพูน ด้วยวิธีการทางอิเล็กทรอนิกส์","","โรงพยาบาลลำพูน","","จ้างก่อสร้าง",""
2015,57085191235,500000,"สอบราคาจ้างเหมาดูแลบำรุงรักษาระบบสาธารณูปโภค อาคารกรมธนารักษ์  อาคาร 72 ปี กรมธนารักษ์ และอาคารเอนกประสงค์   จำนวน  3  ระบบ  ประจำปีงบประมาณ พ.ศ. 2558","","กรมธนารักษ์ กรุงเทพฯ","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57085255393,22808306.4,"ประกวดราคาจ้างรถบัสโดยสารปรับอากาศพร้อมพนักงานขับรถ รับ-ส่ง พนักงาน กฟน.  วิธีประกวดราคา  งบประมาณทำการปี 2558 ระยะเวลา 12 เดือน       (ม.ค.- ธ.ค.2558)","","การไฟฟ้านครหลวง  กองจัดหาและว่าจ้าง ฝ่ายจัดการยานพาหนะและเครื่องมือกล","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57085333486,48000,"เช่าเครื่องถ่ายเอกสาร  สำนักงานสรรพากรพื้นที่สุพรรณบุรี  จำนวน  1  เครื่อง โดยวิธีตกลงราคา","","สำนักงานสรรพากรพื้นที่สุพรรณบุรี","","เช่า",""
2015,57085344691,90000,"จ้างปรับปรุงซ่อมแซมหลังคาอาคารเรียน สปช.102/26 โดยวิธีตกลงราคา","","โรงเรียนบ้านนาหว้า","","จ้างก่อสร้าง",""
2015,57085354159,622400,"สอบราคาจ้างปรับปรุงซ่อมแซมอาคารเรียน อาคารประกอบ แบบ 210 (อาคาร 1)  เปลี่ยนหลังคากระเบื้อง  ขัดพื้นไม้และบันไดไม้  ติดตั้งกระจกและมุ้งลวดกันนก","","โรงเรียนบ้านลาดวิทยา","","จ้างก่อสร้าง",""
2015,57085355435,300000,"สอบราคาจ้างบำรุงรักษาระบบบริการข้อมูลอิเล็กทรอนิกส์ของกรมทรัพยากรธรณี ปีงบประมาณ ๒๕๕๘ จำนวน ๑ ระบบ","","กรมทรัพยากรธรณี กรุงเทพฯ","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57095011528,52000000,"ประกวดราคาซื้อรถยนต์บรรทุกม้า แบบที่ 2 จำนวน 1 คัน ด้วยวิธีการทางอิเล็กทรอนิกส์","","กรมการขนส่งทหารบก กรุงเทพฯ","","ซื้อ",""
2015,57095035095,1569000,"สอบราคาจ้างจ้างเหมาทำการติดตั้งเครื่องหมายนำทางชนิดเป้าสะท้อนแสง","","แขวงทางหลวงเชียงใหม่ที่ 1","","จ้างก่อสร้าง",""
2015,57095090345,0,"สอบราคาจ้างเหมาให้บริการรักษาความสะอาด ณ สำนักงานขนส่งจังหวัดกำแพงเพชร","","สำนักงานขนส่งจังหวัดกำแพงเพชร","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57095107033,485000,"สอบราคาจ้างปรับปรุงสะพานทางเดิน ค.ส.ล. ริมคลองลาดบัวขาว","","สำนักงานเขตลาดกระบัง","","จ้างก่อสร้าง",""
2015,57095108501,1460000,"สอบราคาจ้างจ้างเหมาทำความสะอาดอาคารที่ทำการ","","โรงพยาบาลจิตเวชนครพนมราชนครินทร์","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57095123092,1730000,"สอบราคาจ้างเหมาทำความสะอาดอาคารที่ทำการ วิทยาลัยการตำรวจ อาคารเรียน อาคารชุดห้องพักผู้เข้ารับการฝึกอบรม อาคารศูนย์ฝึกกีฬา และบริเวณลานจอดรถ ของ วิทยาลัยการตำรวจ","","วิทยาลัยการตำรวจ สำนักงานตำรวจแห่งชาติ กรุงเทพฯ","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57095154751,3299000,"ประกวดราคาจ้างก่อสร้างถนนคอนกรีตเสริมเหล็ก  พร้อมวางท่อระบายน้ำ  ค.ส.ล.  สายนาวัง-โป่งสะเก็ด    หมู่ที่ ๓ ตำบลบ่อวิน (ชุมชนปากร่วม)  อำเภอศรีราชา  จังหวัดชลบุรี ด้วยวิธีการทางอิเล็กทรอนิกส์","","เทศบาลนครเจ้าพระยาสุรศักดิ์","","จ้างก่อสร้าง",""
2015,57095200654,6656000,"ประกวดราคาจ้างก่อสร้างอาคารหอประชุมแบบ100/27และห้องส้วมนักเรียนชาย 4 ที่/49 ด้วยวิธีการทางอิเล็กทรอนิกส์","","โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ นครศรีธรรมราช","","จ้างก่อสร้าง",""
2015,57095224222,694695.36,"จ้างซ่อมเครื่องล้างภาชนะแบบอัตโนมัติ จำนวน 1 รายการ (พธ.1122) โดยวิธีพิเศษ","","โรงพยาบาลพระมงกุฎเกล้า","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57095244670,709020,"จ้างเหมาบริการดูแลรักษาความสะอาดและดูแลบำรุงรักษาต้นไม้ โดยวิธีพิเศษ","","สำนักงานสนับสนุนบริการสุขภาพเขต 12 (จังหวัดสงขลา) สาขายะลา","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57095253598,110800,"สอบราคาซื้อครุภัณฑ์วิชางานไฟฟ้า  จำนวน  1  ชุด","","โรงเรียนบ้านสระทอง","","ซื้อ",""
2015,57095263073,1355700,"สอบราคาจ้างซ่อมอาคาร ของ จังหวัดทหารบกเลย","","จังหวัดทหารบกเลย","","จ้างก่อสร้าง",""
2015,57095299675,1120000,"สอบราคาซื้อครุภัณฑ์วิทยาศาสตร์การแพทย์  จำนวน  ๔ รายการ","","โรงพยาบาลท่าตะโก","","ซื้อ",""
2015,57095310567,5849516,"ประกวดราคาจ้างปรับปรุง-ต่อเติมระบบจ่ายก๊าซทางการแพทย์ อาคารไตเทียมและกายภาพบำบัด  และปรับปรุงระบบจ่ายก๊าซทางการแพทย์ อาคารผู้ป่วยนอก ณ โรงพยาบาลบ้านบึง  อำเภอบ้านบึง  จังหวัดชลบุรี ด้วยวิธีการทางอิเล็กทรอนิกส์","","สำนักงานสาธารณสุขจังหวัดชลบุรี","","จ้างก่อสร้าง",""
2015,57095310567,5849516,"ประกวดราคาจ้างปรับปรุง-ต่อเติมระบบจ่ายก๊าซทางการแพทย์ อาคารไตเทียมและกายภาพบำบัด  และปรับปรุงระบบจ่ายก๊าซทางการแพทย์ อาคารผู้ป่วยนอก ณ โรงพยาบาลบ้านบึง  อำเภอบ้านบึง  จังหวัดชลบุรี ด้วยวิธีการทางอิเล็กทรอนิกส์","","สำนักงานสาธารณสุขจังหวัดชลบุรี","","จ้างก่อสร้าง",""
2015,57095312241,14332500,"ประกวดราคาซื้อกระดาษหนังสือพิมพ์ น้ำหนักมาตรฐาน 48.8 กรัม/ตารางเมตร  ขนาด 24 นิ้ว x 35 นิ้ว จำนวน 45,500 รีม ด้วยวิธีการทางอิเล็กทรอนิกส์","","มหาวิทยาลัยสุโขทัยธรรมาธิราช (มสธ.) กรุงเทพฯ","","ซื้อ",""
2015,57095317390,19074000,"จ้างก่อสร้างอาคารที่ทำการสถานีตำรวจ (ทดแทน) สถานีตำรวจภูธรพนม โดยวิธีพิเศษ","","ตำรวจภูธรจังหวัดสุราษฎร์ธานี","","จ้างก่อสร้าง",""
2015,57095351981,134600,"สอบราคาจ้างโครงการลงถนนดินและลงลูกรังพร้อมวางท่อระบายน้ำ คสล.ม.3 บ้านแหลมสน ต.บางตาหงาย อ.บรรพตพิสัย จ.นครสวรรค์","","องค์การบริหารส่วนตำบลบางตาหงาย","","จ้างก่อสร้าง",""
2015,57095360045,124100,"สอบราคาจ้างโครงการปรับปรุงซ่อมแซมถนนดิน ม.5 บ้านบางตาหงาย อ.บรรพตพิสัย จ.นครสวรรค์","","องค์การบริหารส่วนตำบลบางตาหงาย","","จ้างก่อสร้าง",""
2015,57095374099,17350000,"จ้างศูนย์เผยแพร่ศิลปะและวัฒนธรรมกลุ่มจังหวัดภาคเหนือตอนล่าง 1 โดยวิธีพิเศษ","","สำนักงานโยธาธิการและผังเมืองจังหวัดพิษณุโลก","","จ้างก่อสร้าง",""
2015,57095417793,1392000,"จ้างบำรุงรักษาเครื่องชิลเล่อร์ (เครื่องผลิตน้ำเย็น, คูลลิ่งทาวเวอร์) (วิธีพิเศษ ตามข้อบังคับ มช.ว่าด้วยการพัสดุ พ.ศ.2551) โดยวิธีพิเศษ","","มหาวิทยาลัยเชียงใหม่ (มช.) เชียงใหม่","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57095436962,1287768,"จ้างบริการรักษาความปลอดภัยสถานที่ราชการ โดยวิธีกรณีพิเศษ","","โรงพยาบาลจิตเวชนครพนมราชนครินทร์","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57095467717,1500000,"สอบราคาจ้างโครงการเสริมผิวจราจรถนนดอนเขือง - สร้างแป้น","","เทศบาลตำบลดอนเขือง","","จ้างก่อสร้าง",""
2015,57095470994,3667000,"ประกวดราคาจ้างงานปรับปรุงซ่อมแซมอาคารศาลจังหวัดชัยบาดาลที่ได้รับความเสียหายจากพายุฝน","","สำนักงานประจำศาลจังหวัดชัยบาดาล ลพบุรี","","จ้างก่อสร้าง",""
2015,57095478074,722250,"สอบราคาจ้างเหมากำจัดปลวก มด แมลงสาปและหนู จำนวน 1 รายการ (พธ.2266)","","โรงพยาบาลพระมงกุฎเกล้า","","จ้างทำของ/จ้างเหมาบริการ",""
2015,57095479347,1990000,"สอบราคาจ้างโครงการก่อสร้างระบบประปาบ้านโพธิ์ หมู่ที่  1","","องค์การบริหารส่วนตำบลไทยบุรี","","จ้างก่อสร้าง",""
